chemical_code,chemical,items,actualcost
0704010U0,Tamsulosin hydrochloride,7610700,30768394.426040053
0205052C0,Candesartan cilexetil,7125631,29919313.995510045
0209000Z0,Ticagrelor,584024,29645100.935459867
0206020A0,Amlodipine,30541931,29329631.143560138
1106000L0,Latanoprost,2744237,28547952.609090127
236010063,DUMMY CHEMICAL SUBSTANCE 236010063,197277,28298642.825549908
214800001,DUMMY CHEMICAL SUBSTANCE 214800001,392746,28159544.372650005
0403040W0,Venlafaxine,4650427,27711881.075989753
0605010S0,Somatropin,54128,27258502.29817001
0204000R0,Propranolol hydrochloride,5705789,26761168.142619714
0408010AE,Pregabalin,7366275,26663285.362389944
0604011L0,Estradiol with progestogen,1304367,25695873.35955986
233510038,DUMMY CHEMICAL SUBSTANCE 233510038,126822,25447654.38464002
0403010B0,Amitriptyline hydrochloride,13951891,25069907.647530235
0403030Q0,Sertraline hydrochloride,16732486,24636804.013030052
0206020C0,Diltiazem hydrochloride,2619214,24619699.512270402
0601012D0,Biphasic isophane insulin,715202,24036329.68796996
040702040,Tramadol hydrochloride,6067471,23357279.148970045
0212000Y0,Simvastatin,21804237,22692074.81368005
0301040W0,Umeclidinium bromide/vilanterol,659692,22683731.639629923
0407041T0,Sumatriptan succinate,1816680,22551522.967059962
0208020X0,Dabigatran etexilate,467764,22246292.567390025
210109006,DUMMY CHEMICAL SUBSTANCE 210109006,3174609,22141746.255549945
0206020F0,Felodipine,3696954,21909282.92142002
0202020L0,Furosemide,11727640,21140548.756620035
0204000H0,Bisoprolol fumarate,24905412,21124241.267989952
0410030A0,Buprenorphine hydrochloride,764745,20948861.087869998
210200014,DUMMY CHEMICAL SUBSTANCE 210200014,150889,20273710.820250027
0603020T0,Prednisolone,7205898,20049717.201619968
0601011L0,Insulin Lispro,429866,19953154.812770065
0601012Z0,Insulin degludec,355043,19815598.260030046
0101021B0,Alginic acid compound preparations,4047300,19711332.641709913
0601023AM,Canagliflozin,482779,19582122.90305997
212800001,DUMMY CHEMICAL SUBSTANCE 212800001,131082,19297820.974689998
1106000AI,Timolol and bimatoprost,975883,19285989.972350195
0603020J0,Hydrocortisone,438242,19261199.203069992
190700000,Other base/diluent/suspending agent/stabiliser preparations,575027,19230676.726690017
0102000L0,Glycopyrronium bromide,58005,19093721.37471998
090900000,Other food preparations,224691,19052314.094729993
1106000AF,Bimatoprost,1143253,18450215.720950183
210200008,DUMMY CHEMICAL SUBSTANCE 210200008,123476,18294139.321400017
1502010J0,Lidocaine hydrochloride,1307587,18279009.846229963
0206030Z0,Ranolazine,465097,18206200.259260084
0601012F0,Biphasic insulin lispro,325201,18172899.513740007
0501012G0,Flucloxacillin sodium,3848815,18098215.75272009
0304030C0,Adrenaline,379667,18089070.567290053
1001040C0,Allopurinol,6054433,17996214.54962001
0601021M0,Gliclazide,6812033,17815359.19963002
0301020T0,Umeclidinium bromide,610692,17707262.40944986
0703010F0,Combined ethinylestradiol 30mcg,2904023,17684023.10990987
0601012S0,Isophane insulin,652294,17614290.042349994
0209000A0,Aspirin,22205030,17516108.584250048
0205052AE,Sacubitril/valsartan,209468,17377913.259030014
0602010M0,Liothyronine sodium,55004,17266296.847420003
1001030U0,Methotrexate,2047342,16982705.77017001
0802020T0,Tacrolimus,118875,16975034.526180014
0403030E0,Fluoxetine hydrochloride,6816859,16694600.246390006
210200012,DUMMY CHEMICAL SUBSTANCE 210200012,115391,16619723.442630002
0206010K0,Isosorbide mononitrate,4628242,16244327.793399924
200309000,DUMMY CHEMICAL SUBSTANCE 200309000,356617,16142783.224810002
0409010Z0,Rotigotine,130871,16009262.16001003
0704020J0,Oxybutynin,1499085,15962699.276210003
040801050,Topiramate,963777,15931624.897719944
0702010G0,Estradiol,1012270,15731006.79900999
1304000F0,Betamethasone valerate,3177244,15681167.957179664
0208010D0,Enoxaparin,148572,15504971.537930034
0409010H0,Ropinirole hydrochloride,635354,15287351.060109988
0403030D0,Citalopram hydrobromide,14048290,14698617.270919956
0205040D0,Doxazosin mesilate,6704239,14645701.818430014
0403040X0,Mirtazapine,9639509,14610204.87871984
0209000C0,Clopidogrel,10189810,14181841.946369987
0402010D0,Chlorpromazine hydrochloride,253827,14140817.617940005
0307000J0,Carbocisteine,2737444,14094132.269040074
0703021Q0,Desogestrel,2873045,13656484.31276996
0803042P0,Triptorelin acetate,82480,13514028.56930998
0407020C0,Codeine phosphate,4959029,13442221.614430027
0408010C0,Carbamazepine,2269174,13254835.576270135
040201030,Risperidone,1711620,13104474.431120042
0408010F0,Clonazepam,988897,13046388.199050032
0408010I0,Ethosuximide,37769,12973002.401569996
0408010AH,Lacosamide,159580,12951682.362590013
0409010N0,Co-careldopa (Carbidopa/levodopa),1292711,12816415.443640085
0301020S0,Glycopyrronium bromide,439085,12765910.19115995
0202010P0,Indapamide,4820881,12532745.052430008
1304000V0,Hydrocortisone,4199959,12371330.499729998
0605020E0,Desmopressin acetate,307571,12240868.118759995
0303020G0,Montelukast,3156346,12074718.78769999
0606020Z0,Denosumab,65932,12058176.12968999
1003020P0,Ibuprofen,3700388,11839343.430379912
0205051M0,Perindopril erbumine,4380308,11686818.73350999
0206020R0,Nifedipine,1613322,11630602.98836998
0410030C0,Methadone hydrochloride,1843425,11619540.36596
0501070X0,Rifaximin,72071,11592074.03295998
0301011U0,Salmeterol,335904,11533653.177330012
0703023L0,Levonorgestrel,141442,11486840.739579987
0103010T0,Ranitidine hydrochloride,6041130,11340577.061830007
0102000P0,Mebeverine hydrochloride,2093923,11197239.754889993
0604020T0,Testosterone undecanoate,134923,11130263.692789987
210102301,DUMMY CHEMICAL SUBSTANCE 210102301,1846523,11056081.226899976
0604011G0,Estradiol,1290094,11002062.273929942
0901020D0,Cyanocobalamin,1002557,10960293.002920017
0106020I0,Docusate sodium,2328133,10955352.67398003
212200001,DUMMY CHEMICAL SUBSTANCE 212200001,1676656,10911202.719190096
0208010L0,Dalteparin sodium,101517,10791385.603989998
0403010Y0,Trimipramine maleate,29947,10733361.56823
0901011F0,Ferrous fumarate,4601336,10733259.93011986
0205051L0,Lisinopril,8640503,10581253.12288999
0408010U0,Primidone,154235,10519757.750399984
210109007,DUMMY CHEMICAL SUBSTANCE 210109007,1517052,10511191.465339994
0304010E0,Fexofenadine hydrochloride,3515195,10488184.149399985
0703022P0,Etonogestrel,135147,10483061.86701998
200317000,DUMMY CHEMICAL SUBSTANCE 200317000,267067,10436449.67346
0409010W0,Pramipexole,466020,10421824.64603997
1202010M0,Fluticasone propionate (Nasal),925162,10397509.436989976
0704020N0,Tolterodine,1284167,10236381.947700026
0206020L0,Lercanidipine hydrochloride,2677076,10205100.819850015
0410020C0,Varenicline tartrate,307190,10196745.632379977
0109010U0,Ursodeoxycholic acid,317627,10153172.924480034
0208020V0,Warfarin sodium,7031366,10149266.632379955
0601023Y0,Exenatide,122371,10149001.291769987
0301020R0,Aclidinium bromide,298863,10025390.31442003
1202010W0,Fluticasone furoate,1508471,10001808.99091006
0205052I0,Irbesartan,1807108,9980885.73493995
0501013B0,Amoxicillin,7782869,9879943.61811008
0604020K0,Testosterone,259527,9856602.964509934
1306010Y0,Benzoyl peroxide and clindamycin phosphate,571090,9825265.543840045
0501011P0,Phenoxymethylpenicillin (Penicillin V),2217932,9825221.524230082
0410020B0,Nicotine,379140,9689435.660519985
0405010P0,Orlistat,355094,9680586.745549986
0411000E0,Rivastigmine,387417,9661344.057599988
0404000U0,Lisdexamfetamine dimesylate,152876,9631255.64413001
1001010N0,Mefenamic acid,241781,9577134.264830017
0406000S0,Ondansetron hydrochloride,250772,9365388.449789995
1003020AF,Diclofenac diethyl,1714128,9323109.098379955
0103050E0,Esomeprazole,2049049,9295741.386160003
0301040Y0,Indacaterol/glycopyrronium,266190,8999396.226870041
0208010W0,Tinzaparin sodium,68302,8984887.758200001
1104020T0,Sodium cromoglicate,871595,8899691.649670029
0704050R0,Tadalafil,802385,8892782.406529974
0602020D0,Carbimazole,576102,8848666.058250008
225010050,DUMMY CHEMICAL SUBSTANCE 225010050,241586,8798804.431260014
140400030,Hepatitis A,469135,8762412.99978002
0212000AD,Colesevelam hydrochloride,106029,8694893.071240012
040801060,Clobazam,322159,8685822.338599995
0304010Y0,Alimemazine tartrate,32149,8634223.85415
0702010F0,Estriol,635335,8574439.525830045
200317001,DUMMY CHEMICAL SUBSTANCE 200317001,180899,8551455.994620007
1106000AB,Dorzolamide and timolol,721631,8511898.796299964
236007064,DUMMY CHEMICAL SUBSTANCE 236007064,57431,8290859.654069998
0401020K0,Diazepam,4844253,8260606.542639991
200309002,DUMMY CHEMICAL SUBSTANCE 200309002,298757,8232349.403829997
0407041R0,Rizatriptan,326810,8215810.65429999
0407041Z0,Zolmitriptan,363546,8204582.658790025
0905012I0,Cinacalcet hydrochloride,51838,8192308.202329998
238047080,DUMMY CHEMICAL SUBSTANCE 238047080,765071,8120223.478329978
236041064,DUMMY CHEMICAL SUBSTANCE 236041064,57708,8112771.895139993
0601060W0,Ketone blood testing reagents,257488,8032958.805940004
0409010X0,Levodopa/carbidopa/entacapone,158826,8023341.294410004
0906027G0,Vitamin B compound,1886881,7974125.918050007
210109008,DUMMY CHEMICAL SUBSTANCE 210109008,1293959,7880254.185709999
0406000A0,Hyoscine,137715,7858992.776499976
0906040B0,Alfacalcidol,791397,7801434.105819993
0411000G0,Memantine hydrochloride,1382158,7796944.08870001
0301040X0,Tiotropium bromide/olodaterol,230682,7742585.478589986
0102000J0,Dicycloverine hydrochloride,36605,7593686.8725
1202010U0,Mometasone furoate,2205594,7584458.1200500075
210200013,DUMMY CHEMICAL SUBSTANCE 210200013,58503,7563995.580090005
0901020G0,Folic acid,8071283,7529004.8157000225
0603010I0,Fludrocortisone acetate,539275,7469600.472300001
040201060,Olanzapine,2423493,7442816.318630041
0105010E0,Sulfasalazine,834749,7372168.036289993
0601023AW,Semaglutide,79055,7323216.225199971
0501030L0,Lymecycline,1074056,7318711.666060003
0606020A0,Alendronic acid,5912553,7318147.560270024
233556038,DUMMY CHEMICAL SUBSTANCE 233556038,31206,7257043.57915
0106040G0,Lactulose,2694884,7250963.873669994
0504010Y0,Quinine sulfate,2647813,7234223.860449989
0901020N0,Hydroxocobalamin,2733565,7189591.244709989
0402030Q0,Valproic acid,571530,7176804.244950007
0407020AG,Tapentadol hydrochloride,161098,7043042.212999994
0404000S0,Atomoxetine hydrochloride,119817,7039675.277590008
0408010Q0,Phenytoin sodium,674876,7029852.632680011
200316000,DUMMY CHEMICAL SUBSTANCE 200316000,138671,7023838.39467
0606020R0,Risedronate sodium,628453,6999263.288890024
0403010X0,Trazodone hydrochloride,1158689,6968866.209300019
0106020M0,Senna,4042047,6865304.433859971
1404000AD,Hepatitis A/typhoid vaccine,204803,6812157.139740011
0601023AC,Saxagliptin,218509,6777963.308079992
1404000S0,Typhoid,650494,6744888.08592001
1202020L0,Sodium chloride,167557,6743180.638630003
0403010J0,Dosulepin hydrochloride,579839,6714545.879330004
0906026M0,Thiamine hydrochloride,2949055,6700011.9501700075
0901011P0,Ferrous sulfate,2837529,6682675.02475001
0202010B0,Bendroflumethiazide,8998607,6678798.015769979
0408020W0,Midazolam hydrochloride,71086,6673138.963490007
0106070A0,Prucalopride,119481,6637388.301719987
0102000N0,Hyoscine butylbromide,1534585,6618074.11828002
0403040Y0,Duloxetine hydrochloride,2596559,6475968.16538
0501070I0,Colistimethate sodium,35302,6473976.067769999
0408010AK,Perampanel,49089,6370903.356560006
0301040V0,Aclidinium bromide/formoterol,185254,6351419.0716799935
0407010N0,Co-dydramol (Dihydrocodeine/paracetamol),1764952,6227816.68847001
0905022S0,Sevelamer,77752,6219589.467219999
0104020L0,Loperamide hydrochloride,1725076,6210828.787459983
0407020G0,Dihydrocodeine tartrate,1555909,6062542.390559959
200301001,DUMMY CHEMICAL SUBSTANCE 200301001,901193,6043700.169220015
1302010U0,Urea,460866,6003325.316840018
1202010C0,Beclometasone dipropionate,1969028,5997613.203200019
0704020AD,Fesoterodine fumarate,235697,5993501.814799989
211300001,DUMMY CHEMICAL SUBSTANCE 211300001,192668,5929919.931530001
0406000T0,Prochlorperazine maleate,1511492,5899932.328180002
090607000,Other multivitamin preparations,890447,5873434.302259998
0402010AD,Aripiprazole,1185222,5867700.646089976
0409010K0,Co-beneldopa (Benserazide/levodopa),1008369,5857138.674819989
238031080,DUMMY CHEMICAL SUBSTANCE 238031080,673942,5823093.812799981
0409010A0,Apomorphine hydrochloride,11262,5773683.971200001
200306003,DUMMY CHEMICAL SUBSTANCE 200306003,187575,5755432.491149992
0604020C0,Finasteride,3755599,5741444.711299999
1404000L0,Pneumococcal,633710,5736641.511109946
0601023AD,Metformin hydrochloride/sitagliptin,158562,5711242.005739979
0904010H0,Gluten free bread,280534,5677030.727329997
0411000F0,Galantamine,165983,5577394.739990004
0704010A0,Alfuzosin hydrochloride,493830,5532670.7146200035
0105020D0,Prednisolone sodium metasulphobenzoate,19251,5521669.785400001
0212000AA,Rosuvastatin calcium,2533664,5516126.870600018
1001010J0,Ibuprofen,1710404,5513397.62911997
0802010M0,Mycophenolate mofetil,192042,5501932.392640004
223010030,DUMMY CHEMICAL SUBSTANCE 223010030,85116,5500242.605830014
0207020Y0,Midodrine hydrochloride,114505,5474569.212319994
1305030C0,Tacrolimus,176775,5462274.698319984
0402010J0,Haloperidol,324246,5452554.784909992
233507036,DUMMY CHEMICAL SUBSTANCE 233507036,27835,5429275.250960004
1304000G0,Clobetasol propionate,868556,5424692.189059979
0704050Z0,Sildenafil (Erectile Dysfunction),3512103,5419767.978059981
0204000E0,Atenolol,6522337,5412101.416110001
1308010W0,Diclofenac sodium,136340,5370802.006599988
0703022M0,Medroxyprogesterone acetate,921412,5325058.774119997
0206030N0,Nicorandil,1433941,5315107.525289999
0501050B0,Clarithromycin,2105279,5315039.100370017
0106010E0,Ispaghula husk,1112269,5297091.912319997
233507037,DUMMY CHEMICAL SUBSTANCE 233507037,25284,5257339.9510400025
0205052V0,Valsartan,391229,5251127.325980013
1304000Y0,Mometasone furoate,780446,5219030.487370003
1108010D0,Carmellose sodium,549297,5212912.876509991
213000007,DUMMY CHEMICAL SUBSTANCE 213000007,1758986,5205329.346089985
0204000AB,Nebivolol,576486,5169743.399649994
0702020F0,Clotrimazole,792742,5164178.166350013
130201100,Emollient bath and shower preparations,878155,5160441.154440061
190201000,Other individually formulated bought in preparations,142380,5149858.688179999
233541038,DUMMY CHEMICAL SUBSTANCE 233541038,29848,5143340.105859997
239610096,DUMMY CHEMICAL SUBSTANCE 239610096,30422,5124107.603780006
0704050B0,Alprostadil,98914,5120850.92667
0803043N0,Octreotide acetate,7734,5095601.60724
0301011V0,Terbutaline sulphate,493917,5095441.943230038
0801030L0,Mercaptopurine,65464,5081701.201039997
1304000H0,Clobetasone butyrate,1268006,5075041.057410019
1108010B0,Carbomer 940/980,1455276,5055515.306689985
0202020D0,Bumetanide,1739229,5052980.896369997
1308010Y0,Fluorouracil (Sunscreen),162417,5038137.442970009
0307000K0,Dornase alfa,9249,5029212.39141
233541037,DUMMY CHEMICAL SUBSTANCE 233541037,26784,4976365.93071
0103050R0,Pantoprazole,1319154,4971748.841040015
0304010I0,Cetirizine hydrochloride,4542681,4962077.617179995
0106020C0,Bisacodyl,1093915,4955426.70950999
233507038,DUMMY CHEMICAL SUBSTANCE 233507038,26061,4939083.416949997
210200003,DUMMY CHEMICAL SUBSTANCE 210200003,35018,4936269.001439997
0403030X0,Escitalopram,1241887,4929229.946060007
0206010F0,Glyceryl trinitrate,1688819,4886112.415410024
226010060,DUMMY CHEMICAL SUBSTANCE 226010060,298774,4886092.960170016
1105000B0,Atropine sulfate,53081,4845495.985370001
0703010E0,Combined ethinylestradiol 20mcg,408910,4843719.445140017
0802020G0,Ciclosporin,65058,4833379.89664
0205051I0,Enalapril maleate,1579571,4779473.731179981
0409010B0,Amantadine hydrochloride,132389,4774156.775430004
1106000AH,Timolol and travoprost,228000,4758689.098729995
210705101,DUMMY CHEMICAL SUBSTANCE 210705101,254734,4752988.995019981
236007063,DUMMY CHEMICAL SUBSTANCE 236007063,36150,4752857.945449997
0501030I0,Doxycycline hyclate,3032555,4643710.014479996
0206030Y0,Ivabradine,493473,4618681.097580004
0403020Q0,Tranylcypromine sulfate,6118,4555831.725350001
233510037,DUMMY CHEMICAL SUBSTANCE 233510037,21409,4546861.479450001
0212000L0,Ezetimibe,1851608,4545553.776609997
120101050,Dexamethasone,1376405,4535414.352689982
0206020T0,Verapamil hydrochloride,652214,4525905.49937001
0105020A0,Budesonide,69254,4498553.700989987
0501050A0,Azithromycin,765953,4491686.04124
236041065,DUMMY CHEMICAL SUBSTANCE 236041065,35065,4476896.009550002
1202010Y0,Fluticasone propionate/azelastine hydrochloride (Nasal),295455,4468165.868809991
0403010L0,Doxepin,24042,4453247.193039999
236007062,DUMMY CHEMICAL SUBSTANCE 236007062,31845,4427085.12547
0606020W0,Ibandronic acid,162502,4416771.312669996
230510090,DUMMY CHEMICAL SUBSTANCE 230510090,116829,4398242.186310002
0102000T0,Peppermint oil,531293,4389014.390940007
1001030C0,Hydroxychloroquine sulfate,1160841,4367798.279089998
0202030S0,Spironolactone,2777088,4366493.837450009
0704020Z0,Trospium chloride,313529,4287950.125069981
212200003,DUMMY CHEMICAL SUBSTANCE 212200003,640433,4270444.507019991
200317002,DUMMY CHEMICAL SUBSTANCE 200317002,107957,4236839.381410004
1306010Z0,Adapalene and benzoyl peroxide,211491,4175173.852760015
0803042S0,Triptorelin embonate,10806,4154576.948530001
0404000L0,Dexamfetamine sulfate,43650,4154082.5395300016
238009080,DUMMY CHEMICAL SUBSTANCE 238009080,180864,4138930.1788799935
233501037,DUMMY CHEMICAL SUBSTANCE 233501037,21283,4130210.8408600027
1104020AE,Ciclosporin (Eye Anti Inflammatory),47619,4103111.3554799943
1106000P0,Dorzolamide,332291,3972560.7739099986
1302011L0,Light liquid paraffin,640477,3949176.0736799454
200202008,DUMMY CHEMICAL SUBSTANCE 200202008,253057,3942514.3742999947
0401020P0,Lorazepam,1060228,3912530.932829998
0406000B0,Betahistine hydrochloride,1649733,3893500.9844000046
236001063,DUMMY CHEMICAL SUBSTANCE 236001063,22609,3875404.0798099996
0408010AD,Zonisamide,163585,3867971.3017100105
214100001,DUMMY CHEMICAL SUBSTANCE 214100001,71683,3863494.412470001
0403030P0,Paroxetine hydrochloride,1321195,3843783.30976001
0201010F0,Digoxin,2901342,3835023.666990008
1108010F0,Hypromellose,1972131,3782946.543729994
1404000F0,Diphtheria,513401,3776966.951930001
1001040V0,Febuxostat,172289,3771930.5545099988
0402020AB,Paliperidone,11048,3768565.335039999
1003020AA,Capsaicin,205950,3762174.2762700394
0403010V0,Nortriptyline,649836,3748300.3771499908
0202030X0,Eplerenone,810438,3707855.1960399915
225009550,DUMMY CHEMICAL SUBSTANCE 225009550,133401,3695181.8331000195
225005050,DUMMY CHEMICAL SUBSTANCE 225005050,111476,3685934.037070003
1106000AC,Brinzolamide,975591,3678993.892259997
0401010Z0,Zopiclone,5106374,3666220.4134999937
1001010C0,Diclofenac sodium,595337,3656937.88891003
239601097,DUMMY CHEMICAL SUBSTANCE 239601097,22042,3655596.2958099972
0501110C0,Metronidazole,566689,3608980.087949997
238030680,DUMMY CHEMICAL SUBSTANCE 238030680,509866,3607980.2672299873
0304010W0,Promethazine hydrochloride,1297038,3597740.708840013
0803043P0,Lanreotide,4768,3589501.3753500003
0402010A0,Amisulpride,395057,3583639.422389996
0301011E0,Formoterol fumarate,125696,3559427.0947399936
1310012K0,Metronidazole,298038,3545884.735610001
200306000,DUMMY CHEMICAL SUBSTANCE 200306000,102538,3531089.30672
0107020J0,Hydrocortisone,638708,3515710.556059942
0601011P0,Insulin glulisine,93052,3514915.6005499884
0408020V0,Midazolam maleate,17941,3418284.6197700016
0503021C0,Aciclovir,964473,3416299.5630199863
200202009,DUMMY CHEMICAL SUBSTANCE 200202009,268899,3404776.6241099956
0704020AC,Darifenacin hydrobromide,143624,3398926.4304500017
0704010V0,Tamsulosin and dutasteride hydrochloride,163113,3393241.300640004
1106000AJ,Brinzolamide and timolol,221496,3388275.773319995
1003020U0,Diclofenac sodium,301739,3373844.8761599953
0408010N0,Phenobarbital,187828,3367438.953400001
231509015,DUMMY CHEMICAL SUBSTANCE 231509015,125946,3333722.471220004
0604011Y0,Tibolone,189149,3333011.7362799915
210200009,DUMMY CHEMICAL SUBSTANCE 210200009,175951,3329600.169279999
1103010H0,Fusidic acid,105117,3295723.129039999
0301020I0,Ipratropium bromide,390798,3279661.4369899877
238501085,DUMMY CHEMICAL SUBSTANCE 238501085,51656,3273610.220100001
0803041S0,Tamoxifen citrate,668480,3271532.7554800007
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),1287956,3269455.476199983
1106000AD,Latanoprost and timolol,309788,3269337.923750005
0406000F0,Cyclizine hydrochloride,939832,3266929.2263700003
210200007,DUMMY CHEMICAL SUBSTANCE 210200007,118984,3263215.4048599997
200503002,DUMMY CHEMICAL SUBSTANCE 200503002,26820,3262779.3931400017
200202010,DUMMY CHEMICAL SUBSTANCE 200202010,52975,3229828.233480001
1104010I0,Dexamethasone,455062,3224297.2123299977
210704101,DUMMY CHEMICAL SUBSTANCE 210704101,230433,3224027.585150004
1306010I0,Erythromycin,261944,3218142.131090004
236056062,DUMMY CHEMICAL SUBSTANCE 236056062,21672,3192706.1032199985
1103010C0,Chloramphenicol,1211126,3191279.719449994
0102000A0,Alverine citrate,243442,3180661.1690499997
213000003,DUMMY CHEMICAL SUBSTANCE 213000003,354394,3179106.430129991
0212000AB,Omega-3-acid ethyl esters,104526,3176212.9913199977
1002020C0,Baclofen,1155999,3161803.396599999
0403010R0,Lofepramine hydrochloride,171801,3154674.49233
0501080W0,Trimethoprim,1642805,3132839.2253999985
1309000C0,Coal tar,588435,3120047.154279993
0607010C0,Cabergoline,69327,3119059.8429200035
1304000X0,Hydrocortisone acetate,502096,3117945.417230007
231510015,DUMMY CHEMICAL SUBSTANCE 231510015,140380,3107762.75462
0209000L0,Dipyridamole,265771,3098173.486580012
0408010AL,Brivaracetam,25899,3086184.978409999
0409020S0,Procyclidine hydrochloride,889409,3064581.67376
1001022K0,Methylprednisolone acetate,591649,3061796.5397499935
021200010,Ciprofibrate,24588,3051719.2042200034
212100000,DUMMY CHEMICAL SUBSTANCE 212100000,466001,3048755.983490015
200503001,DUMMY CHEMICAL SUBSTANCE 200503001,17523,3031488.684410001
231507015,DUMMY CHEMICAL SUBSTANCE 231507015,160207,3024907.6269900044
0402010S0,Promazine hydrochloride,114002,3015172.96278
200308000,DUMMY CHEMICAL SUBSTANCE 200308000,97485,3014584.4345699977
0601023AU,Ins degludec/liraglutide,24182,3009901.0098999995
0212000D0,Bezafibrate,410743,3003209.5671200124
1304000D0,Betamethasone esters,373055,3003035.799040012
0212000X0,Pravastatin sodium,2521045,2987469.613669999
238510085,DUMMY CHEMICAL SUBSTANCE 238510085,36151,2969560.3133999994
200309001,DUMMY CHEMICAL SUBSTANCE 200309001,70606,2966968.1942700003
1106000AE,Travoprost,419414,2961665.97999001
200202011,DUMMY CHEMICAL SUBSTANCE 200202011,45144,2940349.16285
233548036,DUMMY CHEMICAL SUBSTANCE 233548036,13629,2926322.0724799996
212700001,DUMMY CHEMICAL SUBSTANCE 212700001,62814,2924685.9829
0406000J0,Domperidone,367111,2922931.21426999
200317003,DUMMY CHEMICAL SUBSTANCE 200317003,92332,2918025.248949997
239607096,DUMMY CHEMICAL SUBSTANCE 239607096,18912,2907417.8679600023
1306010H0,Adapalene,174175,2901897.1315800254
200301000,DUMMY CHEMICAL SUBSTANCE 200301000,354319,2887323.694500003
0601023AI,Lixisenatide,45940,2885701.2750499984
0408010D0,Oxcarbazepine,108749,2866011.512779996
210200002,DUMMY CHEMICAL SUBSTANCE 210200002,24204,2851568.0841000006
0407020AF,Oxycodone hydrochloride/naloxone hydrochloride,43773,2830812.3430800023
236001062,DUMMY CHEMICAL SUBSTANCE 236001062,18148,2794006.63839
0905013G0,Magnesium glycerophosphate,42155,2784006.1794599984
0407042F0,Clonidine hydrochloride,380336,2757077.2567000017
0107040A0,Glyceryl trinitrate,73351,2751894.633159986
1002010Q0,Pyridostigmine bromide,68502,2741344.373520005
0403040AB,Vortioxetine,125958,2716425.853859996
200315000,DUMMY CHEMICAL SUBSTANCE 200315000,13911,2714116.92344
