chemical_code,chemical,items,actualcost
0601012W0,Biphasic insulin aspart,801921,39034908.59794991
0702020F0,Clotrimazole,792742,5164178.166350012
0906040B0,Alfacalcidol,791397,7801434.105819992
1304000Y0,Mometasone furoate,780446,5219030.487370003
0501050A0,Azithromycin,765953,4491686.04124
238047080,DUMMY CHEMICAL SUBSTANCE 238047080,765071,8120223.47832998
0410030A0,Buprenorphine hydrochloride,764745,20948861.087869994
0208020AA,Edoxaban,764112,34506864.402519844
0601023B0,Pioglitazone hydrochloride,751771,1653104.894730005
1310020H0,Clotrimazole,747441,1205653.6192299917
0501021L0,Cefalexin,726894,1360063.120679994
1106000AB,Dorzolamide and timolol,721631,8511898.796299964
0406000P0,Metoclopramide hydrochloride,716629,2336314.7812499986
0601012D0,Biphasic isophane insulin,715202,24036329.687969964
0301011AB,Beclometdiprop/formoterol/glycopyrronium,696166,31231288.622600045
0408010Q0,Phenytoin sodium,674876,7029852.632680007
238031080,DUMMY CHEMICAL SUBSTANCE 238031080,673942,5823093.81279998
1309000I0,Ketoconazole,670301,2592329.639880011
0803041S0,Tamoxifen citrate,668480,3271532.755480001
0502030B0,Nystatin,660130,1444352.395849999
0301040W0,Umeclidinium bromide/vilanterol,659692,22683731.63962992
0601012S0,Isophane insulin,652294,17614290.04235
0206020T0,Verapamil hydrochloride,652214,4525905.499370008
1404000S0,Typhoid,650494,6744888.08592001
0403010V0,Nortriptyline,649836,3748300.3771499908
1302011L0,Light liquid paraffin,640477,3949176.073679944
212200003,DUMMY CHEMICAL SUBSTANCE 212200003,640433,4270444.507019992
0107020J0,Hydrocortisone,638708,3515710.5560599416
0409010H0,Ropinirole hydrochloride,635354,15287351.060109988
0702010F0,Estriol,635335,8574439.525830045
0401010Y0,Zolpidem tartrate,634786,561805.5956400005
1404000L0,Pneumococcal,633710,5736641.511109946
0606020R0,Risedronate sodium,628453,6999263.288890024
0601012X0,Insulin detemir,626449,34861841.13782995
0301020T0,Umeclidinium bromide,610692,17707262.40944986
0601021A0,Glimepiride,608033,1608523.6749699935
0109040N0,Pancreatin,604852,34789800.01619001
1001010C0,Diclofenac sodium,595337,3656937.8889100295
1001022K0,Methylprednisolone acetate,591649,3061796.539749993
1309000C0,Coal tar,588435,3120047.154279993
020400080,Carvedilol,586378,1878685.246439991
0209000Z0,Ticagrelor,584024,29645100.93545986
0403010J0,Dosulepin hydrochloride,579839,6714545.879330004
0206020K0,Lacidipine,577710,1695330.7946899994
0204000AB,Nebivolol,576486,5169743.399649995
0602020D0,Carbimazole,576102,8848666.058250006
190700000,Other base/diluent/suspending agent/stabiliser preparations,575027,19230676.726690017
0803041B0,Anastrozole,572609,1831728.134770005
0402030Q0,Valproic acid,571530,7176804.2449500095
1306010Y0,Benzoyl peroxide and clindamycin phosphate,571090,9825265.543840047
0501110C0,Metronidazole,566689,3608980.0879499963
0212000P0,Fenofibrate,557735,2509442.3714999966
1108010D0,Carmellose sodium,549297,5212912.87650999
0601023AQ,Dulaglutide,539345,40497424.50996987
0603010I0,Fludrocortisone acetate,539275,7469600.472300002
1106000Z0,Timolol,532464,2286771.9489799957
0502010B0,Fluconazole,531744,1539112.32669
0102000T0,Peppermint oil,531293,4389014.390940007
0407042Q0,Pizotifen malate,524764,1852246.7284400063
1203010E0,Benzydamine hydrochloride,522649,2683844.0816199896
0601023AB,Liraglutide,521584,53227899.08061015
1404000F0,Diphtheria,513401,3776966.951930001
1001010AA,Meloxicam,512723,999365.1927400035
238030680,DUMMY CHEMICAL SUBSTANCE 238030680,509866,3607980.267229987
1304000X0,Hydrocortisone acetate,502096,3117945.4172300072
0301011V0,Terbutaline sulphate,493917,5095441.943230038
0704010A0,Alfuzosin hydrochloride,493830,5532670.714620004
0501120L0,Ciprofloxacin,493778,1466006.51316
0206030Y0,Ivabradine,493473,4618681.0975800045
1001040G0,Colchicine,490466,1719571.8103900007
0601023AM,Canagliflozin,482779,19582122.903059974
0203020D0,Amiodarone hydrochloride,475490,1194572.4655499966
0902013S0,Sodium bicarbonate,473919,1430461.703950001
0204000T0,Sotalol hydrochloride,473858,1449140.0170799978
0301030S0,Theophylline,473319,1638617.3080099947
140400030,Hepatitis A,469135,8762412.999780018
0208020X0,Dabigatran etexilate,467764,22246292.56739003
0409010W0,Pramipexole,466020,10421824.64603997
212100000,DUMMY CHEMICAL SUBSTANCE 212100000,466001,3048755.983490015
0206030Z0,Ranolazine,465097,18206200.25926008
1302010U0,Urea,460866,6003325.316840019
1104010I0,Dexamethasone,455062,3224297.212329997
0205052B0,Olmesartan medoxomil,445142,1023109.0295500003
0301020S0,Glycopyrronium bromide,439085,12765910.191159956
0603020J0,Hydrocortisone,438242,19261199.20307
1310020N0,Miconazole nitrate,432420,963944.5082099879
0501050C0,Erythromycin,431708,1366242.8951100006
0601011L0,Insulin Lispro,429866,19953154.81277006
0211000P0,Tranexamic acid,428669,2384867.791769995
0203020I0,Flecainide acetate,428346,2602441.8503800053
0304010J0,Hydroxyzine hydrochloride,428321,589849.2744900007
0401010R0,Nitrazepam,425366,2231826.5958000035
1202030S0,Neomycin sulfate,421869,823668.1583600044
0604012P0,Norethisterone,421336,1577644.9729400016
1106000AE,Travoprost,419414,2961665.9799900097
1003020R0,Piroxicam,415952,1424142.8676199976
0212000D0,Bezafibrate,410743,3003209.5671200124
0703010E0,Combined ethinylestradiol 20mcg,408910,4843719.445140018
0905011D0,Calcium carbonate,405248,2299998.963370002
0502050C0,Terbinafine hydrochloride,403482,2034751.5824700014
0402010A0,Amisulpride,395057,3583639.422389995
214800001,DUMMY CHEMICAL SUBSTANCE 214800001,392746,28159544.372649997
0205052V0,Valsartan,391229,5251127.325980014
0301020I0,Ipratropium bromide,390798,3279661.436989989
0204000K0,Metoprolol tartrate,387865,2662014.7820600057
1001010AJ,Etoricoxib,387500,2276366.2395799956
0411000E0,Rivastigmine,387417,9661344.05759999
210125001,DUMMY CHEMICAL SUBSTANCE 210125001,385842,761110.5337499958
0205020M0,Moxonidine,382739,673733.3068199991
0407042F0,Clonidine hydrochloride,380336,2757077.2567000007
0304030C0,Adrenaline,379667,18089070.56729006
0410020B0,Nicotine,379140,9689435.660519982
0906070T0,Vitamins caps,376944,190763.67340000026
1304000D0,Betamethasone esters,373055,3003035.7990400116
212400001,DUMMY CHEMICAL SUBSTANCE 212400001,370215,1071035.4707600044
0406000J0,Domperidone,367111,2922931.21426999
210109005,DUMMY CHEMICAL SUBSTANCE 210109005,365428,2274996.5413699946
0407041Z0,Zolmitriptan,363546,8204582.658790028
190205500,Other toiletry preparations,358507,2427287.269349986
200309000,DUMMY CHEMICAL SUBSTANCE 200309000,356617,16142783.224810006
0405010P0,Orlistat,355094,9680586.745549984
0601012Z0,Insulin degludec,355043,19815598.260030035
213000003,DUMMY CHEMICAL SUBSTANCE 213000003,354394,3179106.4301299914
200301000,DUMMY CHEMICAL SUBSTANCE 200301000,354319,2887323.6945000035
0103050T0,Rabeprazole sodium,352437,887540.4902999996
0406000D0,Cinnarizine,345071,1617787.3226499974
0504010T0,Quinine bisulfate,342599,1008143.8613499991
0301011U0,Salmeterol,335904,11533653.177330012
1106000P0,Dorzolamide,332291,3972560.7739099986
0107020P0,Prednisolone,332052,882870.0536599926
0205052Q0,Telmisartan,327502,2441169.9709400013
0407041R0,Rizatriptan,326810,8215810.654299991
0601012F0,Biphasic insulin lispro,325201,18172899.513740003
0402010J0,Haloperidol,324246,5452554.7849099925
040801060,Clobazam,322159,8685822.338599993
238002980,DUMMY CHEMICAL SUBSTANCE 238002980,321679,2300852.5394200017
0202040B0,Co-amilofruse (Amiloride hydrochloride/frusemide),320626,2202719.2620600048
0501030T0,Oxytetracycline,318846,1965347.5627500014
0109010U0,Ursodeoxycholic acid,317627,10153172.924480038
0704020Z0,Trospium chloride,313529,4287950.125069981
1106000AD,Latanoprost and timolol,309788,3269337.9237500047
0605020E0,Desmopressin acetate,307571,12240868.118759995
0410020C0,Varenicline tartrate,307190,10196745.632379973
1001010AH,Celecoxib,304434,2359625.0227400055
211600000,DUMMY CHEMICAL SUBSTANCE 211600000,302368,1769025.448790001
0703010G0,Combined ethinylestradiol 35mcg,302171,2513438.8556299955
1003020U0,Diclofenac sodium,301739,3373844.876159994
0901011H0,Ferrous gluconate,300097,466831.72609999974
0301020R0,Aclidinium bromide,298863,10025390.31442003
226010060,DUMMY CHEMICAL SUBSTANCE 226010060,298774,4886092.960170017
200309002,DUMMY CHEMICAL SUBSTANCE 200309002,298757,8232349.4038299965
1310012K0,Metronidazole,298038,3545884.73561
0604020B0,Dutasteride,295966,968456.3264099981
1202010Y0,Fluticasone propionate/azelastine hydrochloride (Nasal),295455,4468165.8688099915
200900004,DUMMY CHEMICAL SUBSTANCE 200900004,291283,2571601.925950004
1003020W0,Heparinoid,286292,2237350.0462900144
1106000AA,Brimonidine tartrate,285740,1154755.3540800018
0704020AA,Duloxetine hydrochloride,284996,1234461.8496700013
212300001,DUMMY CHEMICAL SUBSTANCE 212300001,283727,2339838.3948899973
0904010H0,Gluten free bread,280534,5677030.727329998
201000005,DUMMY CHEMICAL SUBSTANCE 201000005,274295,769050.0649299979
0407010P0,Nefopam hydrochloride,271024,2242806.0286099976
200202009,DUMMY CHEMICAL SUBSTANCE 200202009,268899,3404776.6241099965
0902012H0,Oral rehydration salts,268322,1962728.2580899969
200317000,DUMMY CHEMICAL SUBSTANCE 200317000,267067,10436449.67346
0301040Y0,Indacaterol/glycopyrronium,266190,8999396.226870043
0209000L0,Dipyridamole,265771,3098173.4865800114
0301030C0,Aminophylline hydrate,265171,671789.9016799995
1306010I0,Erythromycin,261944,3218142.131090003
0604020K0,Testosterone,259527,9856602.96450993
0601060W0,Ketone blood testing reagents,257488,8032958.805940007
210200011,DUMMY CHEMICAL SUBSTANCE 210200011,256781,48844646.60388989
1003020I0,Diethylamine salicylate,255743,658253.6602299969
210705101,DUMMY CHEMICAL SUBSTANCE 210705101,254734,4752988.995019982
0601040I0,Glucose,254120,2409675.09155
0402010D0,Chlorpromazine hydrochloride,253827,14140817.617940003
200202008,DUMMY CHEMICAL SUBSTANCE 200202008,253057,3942514.374299994
0406000S0,Ondansetron hydrochloride,250772,9365388.449789997
1302020D0,Dimeticone (Barrier),250651,576770.3510900012
211400000,DUMMY CHEMICAL SUBSTANCE 211400000,249544,896530.7094900006
0102000A0,Alverine citrate,243442,3180661.1690499997
1001010N0,Mefenamic acid,241781,9577134.264830014
225010050,DUMMY CHEMICAL SUBSTANCE 225010050,241586,8798804.431260016
0501015P0,Pivmecillinam hydrochloride,239023,2092870.8793399977
213000004,DUMMY CHEMICAL SUBSTANCE 213000004,236665,836579.6542499989
0704020AD,Fesoterodine fumarate,235697,5993501.81479999
0803042K0,Goserelin acetate,232599,36132035.311860085
0803042A0,Bicalutamide,230795,1743115.2842399997
0301040X0,Tiotropium bromide/olodaterol,230682,7742585.478589987
210704101,DUMMY CHEMICAL SUBSTANCE 210704101,230433,3224027.585150004
0403010F0,Clomipramine hydrochloride,228194,1630544.4683099992
1106000AH,Timolol and travoprost,228000,4758689.098729994
1001022U0,Triamcinolone acetonide,226865,397547.86778999947
0603020G0,Dexamethasone,226024,2555690.0834200024
090900000,Other food preparations,224691,19052314.09472999
226009560,DUMMY CHEMICAL SUBSTANCE 226009560,224543,2328268.21317
1106000AJ,Brinzolamide and timolol,221496,3388275.773319994
0601023AC,Saxagliptin,218509,6777963.308079993
0106020L0,Glycerol,217074,453790.1284599984
211200001,DUMMY CHEMICAL SUBSTANCE 211200001,213830,1167822.0067700034
0501050H0,Erythromycin ethylsuccinate,213754,2299617.885970001
131002030,Terbinafine hydrochloride,213697,621734.3855599995
0304010AB,Desloratadine,212462,566815.5951499987
0703021N0,Norethisterone,211823,576013.2661099983
0803042N0,Leuprorelin acetate,211747,37994757.38400008
1306010Z0,Adapalene and benzoyl peroxide,211491,4175173.852760014
1501041T0,Midazolam hydrochloride,210089,1124557.1200000017
0205052AE,Sacubitril/valsartan,209468,17377913.259030014
1003020AA,Capsaicin,205950,3762174.2762700403
1404000AD,Hepatitis A/typhoid vaccine,204803,6812157.139740009
210109009,DUMMY CHEMICAL SUBSTANCE 210109009,204589,1220170.222529996
0409010Y0,Rasagiline mesilate,202661,747199.644759998
1203040E0,Chlorhexidine gluconate,199476,859917.2707199947
0901011W0,Sodium feredetate,197501,2432473.9334800066
236010063,DUMMY CHEMICAL SUBSTANCE 236010063,197277,28298642.82554991
1302020E0,Zinc oxide,194740,708134.6020500002
0205052P0,Losartan potassium with diuretic,193459,955559.209160001
211300001,DUMMY CHEMICAL SUBSTANCE 211300001,192668,5929919.93153
200301003,DUMMY CHEMICAL SUBSTANCE 200301003,192361,1585805.306710001
0802010M0,Mycophenolate mofetil,192042,5501932.392640004
1106000AL,Brinzolamide/brimonidine,191639,2384359.6458599796
201200002,DUMMY CHEMICAL SUBSTANCE 201200002,191226,580394.10819
0604011Y0,Tibolone,189149,3333011.736279992
0408010N0,Phenobarbital,187828,3367438.953400001
200306003,DUMMY CHEMICAL SUBSTANCE 200306003,187575,5755432.491149993
0604012S0,Progesterone,186644,2424295.2088100044
0301040V0,Aclidinium bromide/formoterol,185254,6351419.071679991
0902021X0,Water for injection,184373,1123857.3281999999
1311020L0,Chlorhexidine gluconate,183585,1288357.6223199947
0604011P0,Oestrogens conjugated,183028,685498.3190899997
1001030L0,Leflunomide,181130,1382373.5378699943
200317001,DUMMY CHEMICAL SUBSTANCE 200317001,180899,8551455.994620005
238009080,DUMMY CHEMICAL SUBSTANCE 238009080,180864,4138930.1788799935
0401020B0,Buspirone hydrochloride,179198,1178729.1236200007
0205010J0,Hydralazine hydrochloride,179028,1098166.274939997
0501080D0,Co-trimoxazole(Trimethoprim/sulfamethoxazole),177014,714125.6867699987
1305030C0,Tacrolimus,176775,5462274.698319984
210200009,DUMMY CHEMICAL SUBSTANCE 210200009,175951,3329600.1692799996
1306010H0,Adapalene,174175,2901897.1315800254
1104020Z0,Olopatadine,174046,997457.8568199993
1104010D0,Betamethasone sodium phosphate,173890,449698.8699099994
1001040V0,Febuxostat,172289,3771930.5545099988
0403010R0,Lofepramine hydrochloride,171801,3154674.4923300007
1202020L0,Sodium chloride,167557,6743180.638630003
100302010,Ketoprofen,166959,549971.8377699999
0107010Z0,Zinc oxide,166629,492020.73298000003
0411000F0,Galantamine,165983,5577394.7399900025
1310020A0,Amorolfine hydrochloride,165491,1224509.1541799968
0408010AD,Zonisamide,163585,3867971.3017100105
0704010V0,Tamsulosin and dutasteride hydrochloride,163113,3393241.3006400047
0606020W0,Ibandronic acid,162502,4416771.312669996
1308010Y0,Fluorouracil (Sunscreen),162417,5038137.44297001
200900009,DUMMY CHEMICAL SUBSTANCE 200900009,161703,2285991.7723700018
0202030C0,Amiloride hydrochloride,161284,2537460.5081200055
0407020AG,Tapentadol hydrochloride,161098,7043042.212999995
231507015,DUMMY CHEMICAL SUBSTANCE 231507015,160207,3024907.626990005
0408010AH,Lacosamide,159580,12951682.362590013
120101040,Dexamethasone sodium metasulphobenzoate,159467,1157550.4174800005
0409010X0,Levodopa/carbidopa/entacapone,158826,8023341.294410005
0601023AD,Metformin hydrochloride/sitagliptin,158562,5711242.005739977
1203020H0,Miconazole,158481,673802.493830003
0106020P0,Sodium picosulfate,157457,1113894.0592200009
211600001,DUMMY CHEMICAL SUBSTANCE 211600001,155476,1080197.2907799997
0408010U0,Primidone,154235,10519757.750399988
0404000U0,Lisdexamfetamine dimesylate,152876,9631255.644130008
1310040Q0,Permethrin,152761,2227364.910730003
0403010N0,Imipramine hydrochloride,151389,432063.41226999904
210200014,DUMMY CHEMICAL SUBSTANCE 210200014,150889,20273710.82025003
020400040,Co-tenidone (Atenolol/chlortalidone),150858,379932.91314000066
210113001,DUMMY CHEMICAL SUBSTANCE 210113001,150325,1319365.1823799992
210112002,DUMMY CHEMICAL SUBSTANCE 210112002,150054,400823.1591300005
0208010D0,Enoxaparin,148572,15504971.53793003
1002020S0,Methocarbamol,147854,1670898.3815300022
0407041M0,Naratriptan hydrochloride,146866,1583148.0036400002
0704020AC,Darifenacin hydrobromide,143624,3398926.4304500017
